ID,Title,Mean,Episodes,Rating,Popularity,Genres
8369,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,7.52,1,g,7658,"Adventure, Comedy, Sci-Fi, Seinen"
2676,Doraemon Movie 15: Nobita to Mugen Sankenshi,7.52,1,pg,7428,"Adventure, Fantasy, Kids, Sci-Fi, Shounen"
36480,Drifters (OVA),7.52,2,r,2595,"Action, Adult Cast, Adventure, Comedy, Fantasy, Gore, Historical, Isekai, Military, Samurai, Seinen"
31552,Durarara!!x2 Ten: Onoroke Chakapoko,7.52,1,r,3263,"Action, Mystery, Supernatural"
40861,Hakumei no Tsubasa,7.52,7,pg,5019,"Action, Adventure, Comedy, Fantasy, Kids"
2405,Hello! Lady Lynn,7.52,36,g,9380,"Drama, Shoujo"
37007,Hinomaruzumou,7.52,24,pg_13,1931,"Combat Sports, School, Shounen, Sports"
37497,Irozuku Sekai no Ashita kara,7.52,13,pg_13,745,"Drama, Fantasy, Love Polygon, Romance, School, Time Travel, Urban Fantasy, Visual Arts"
21327,Isshuukan Friends.,7.52,12,pg_13,815,"Drama, School, Shounen"
666,JoJo no Kimyou na Bouken,7.52,6,r+,1760,"Action, Adventure, Drama, Shounen, Super Power, Vampire"
37621,Karakai Jouzu no Takagi-san: Water Slide,7.52,1,pg_13,2401,"Comedy, Love Status Quo, Romance, Shounen"
8532,"Katekyou Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",7.52,1,pg_13,4581,"Comedy, Shounen"
7270,Kidou Senshi Gundam 00 Special Edition,7.52,3,pg_13,6367,"Drama, Mecha, Military, Sci-Fi"
19669,Kuroko no Basket: Baka ja Katenai no yo!,7.52,1,pg_13,3356,"School, Shounen, Sports, Team Sports"
42590,Mashiro no Oto,7.52,12,pg_13,1657,"Drama, Music, Performing Arts, School, Shounen"
522,Metropolis,7.52,1,pg_13,2091,"Adventure, Drama, Romance, Sci-Fi, Shounen"
9396,Mitsudomoe: Oppai Ippai Mama Genki,7.52,1,pg_13,5392,"Comedy, Gag Humor, School, Shounen"
53585,Modern Love Tokyo: Kare ga Kanaderu Futari no Shirabe,7.52,1,pg_13,9722,Romance
14407,Persona 3 the Movie 1: Spring of Birth,7.52,1,r,1945,"Action, Super Power, Supernatural"
10588,Persona 4 the Animation,7.52,25,pg_13,988,"Action, Mystery, School, Sci-Fi, Super Power, Supernatural"
209,R.O.D: The TV,7.52,26,r+,2821,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power"
